bands,alpha,trial,kan,mlpreg,gap
no_u,2.0,0,0.9250392196985199,0.9302912488916172,-0.005252029193097307
no_u,2.0,1,0.9246299706704864,0.9281767955801105,-0.0035468249096241022
no_u,2.0,2,0.9228565582156742,0.9283814200941273,-0.0055248618784530246
no_u,2.0,3,0.924971011527181,0.9289270854648387,-0.003956073937657734
no_u,2.0,4,0.9240843052997749,0.9287906691221608,-0.004706363822385873
no_u,5.0,0,0.893390628197258,0.9065548052656708,-0.013164177068412775
no_u,5.0,1,0.8969374531068822,0.9066912216083487,-0.009753768501466475
no_u,5.0,2,0.8912079667144124,0.9072368869790601,-0.01602892026464775
no_u,5.0,3,0.8951640406520701,0.9083964258918218,-0.013232385239751676
no_u,5.0,4,0.8946183752813587,0.9071686788077211,-0.012550303526362439
no_u,10.0,0,0.8484414432849056,0.8607189141259123,-0.012277470841006721
no_u,10.0,1,0.8509651456244458,0.8664484005183821,-0.015483254893936316
no_u,10.0,2,0.8454402837459928,0.8672668985744493,-0.021826614828456492
no_u,10.0,3,0.8487824841416002,0.8658345269763318,-0.017052042834731607
no_u,10.0,4,0.8478275697428552,0.8636518654934862,-0.015824295750630935
